,Order,Stage,Start,Finish,Duration
0,24,0,17.0,18.0,1.0
3,24,1,26.600006,28.050007,1.4500008
5,24,2,41.575,42.575,1.0
8,24,3,42.575,42.822002,0.24700165
11,24,4,55.934,56.184,0.25
16,24,5,57.503,57.572,0.069000244
1,25,0,11.0,12.0,1.0
3,25,1,16.45,17.900002,1.4500008
5,25,2,39.760002,41.575,1.8149986
10,25,3,42.989994,43.631992,0.6419983
11,25,4,46.684,46.934,0.25
16,25,5,49.086,49.715,0.6290016
1,26,0,10.0,11.0,1.0
2,26,1,11.0,12.45,1.4499998
5,26,2,14.715,15.715,1.0
10,26,3,40.168,40.934,0.76599884
11,26,4,40.934,41.184,0.25
0,27,0,5.0,6.0,1.0
2,27,1,25.500004,26.950005,1.4500008
6,27,2,26.950005,27.950005,1.0
9,27,3,40.378002,40.749,0.37099838
11,27,4,45.184,45.934,0.75
16,27,5,51.703995,51.807995,0.10400009
0,28,0,20.0,21.0,1.0
2,28,1,38.55001,40.00001,1.4500008
5,28,2,44.575,45.575,1.0
10,28,3,48.515984,49.163982,0.6479988
11,28,4,49.934,50.434,0.5
16,28,5,50.434,51.068996,0.6349983
0,29,0,7.0,8.0,1.0
3,29,1,17.900002,19.350002,1.4500008
6,29,2,33.750008,34.750008,1.0
9,29,3,42.82101,43.068012,0.24700165
11,29,4,51.434,51.684,0.25
16,29,5,57.572,57.641,0.069000244
0,30,0,4.0,5.0,1.0
3,30,1,6.45,7.8999996,1.4499998
5,30,2,51.39,53.204998,1.8149986
10,30,3,54.564014,55.206013,0.6419983
11,30,4,59.184,59.434,0.25
16,30,5,59.818996,60.447998,0.6290016
1,31,0,1.0,2.0,1.0
2,31,1,37.10001,38.55001,1.4500008
7,31,2,38.55001,39.55001,1.0
10,31,3,49.163982,49.92998,0.76599884
11,31,4,54.684,54.934,0.25
0,32,0,9.0,10.0,1.0
2,32,1,13.9,15.349999,1.4499998
7,32,2,15.349999,16.349998,0.99999905
8,32,3,16.349998,16.720999,0.3710003
11,32,4,44.184,44.934,0.75
16,32,5,44.934,45.038,0.10400009
1,33,0,16.0,17.0,1.0
3,33,1,20.800003,22.250004,1.4500008
5,33,2,26.500004,27.500004,1.0
10,33,3,40.934,41.581997,0.6479988
11,33,4,43.434,43.934,0.5
16,33,5,48.451,49.086,0.6349983
0,34,0,18.0,19.0,1.0
2,34,1,48.700016,50.150017,1.4500008
6,34,2,50.150017,51.150017,1.0
8,34,3,51.150017,51.39702,0.24700165
11,34,4,56.934,57.184,0.25
16,34,5,60.447998,60.517,0.069000244
0,35,0,24.0,25.0,1.0
3,35,1,35.30001,36.75001,1.4500008
5,35,2,53.204998,55.019997,1.8149986
10,35,3,55.84801,56.49001,0.6419983
11,35,4,59.934,60.184,0.25
