,Order,Stage,Start,Finish,Duration
10,23,3,40.947998,41.595997,0.6479988
11,23,4,41.595997,42.095997,0.5
16,23,5,42.095997,42.730995,0.6349983
0,24,0,24.0,25.0,1.0
2,24,1,38.80001,40.25001,1.4500008
6,24,2,40.25001,41.25001,1.0
9,24,3,41.25001,41.497013,0.24700165
12,24,4,41.497013,41.91701,0.41999817
14,24,5,42.634,42.876,0.24200058
0,25,0,6.0,7.0,1.0
4,25,1,8.331,10.662001,2.3310003
6,25,2,12.249999,14.494999,2.245
10,25,3,14.494999,15.136999,0.6420002
12,25,4,15.136999,15.556999,0.42000008
16,25,5,15.556999,16.185999,0.6289997
1,26,0,0.0,1.0,1.0
2,26,1,1.0,2.45,1.45
5,26,2,2.45,3.45,1.0
10,26,3,6.098,6.864,0.7659998
12,26,4,6.864,7.284,0.42000008
1,27,0,1.0,2.0,1.0
3,27,1,2.45,3.9,1.45
6,27,2,3.9,4.9,1.0
9,27,3,4.9,5.271,0.3709998
11,27,4,5.271,6.021,0.75
15,27,5,6.021,6.3849998,0.36399984
0,28,0,1.0,2.0,1.0
2,28,1,2.45,3.9,1.45
5,28,2,3.9,4.9,1.0
10,28,3,6.864,7.512,0.64800024
11,28,4,7.512,8.012,0.5
14,28,5,8.012,10.234,2.2220001
1,29,0,2.0,3.0,1.0
3,29,1,3.9,25.35,21.45
7,29,2,25.35,26.35,1.0
8,29,3,45.0,45.247,0.24700165
13,29,4,45.247,45.667,0.41999817
15,29,5,45.667,45.909,0.24200058
0,30,0,2.0,3.0,1.0
4,30,1,3.0,5.3310003,2.3310003
5,30,2,5.3310003,7.1460004,1.815
10,30,3,7.512,8.154,0.6420002
12,30,4,8.154,8.574,0.42000008
16,30,5,8.574,9.203,0.6289997
1,31,0,3.0,4.0,1.0
2,31,1,4.0,5.45,1.4499998
6,31,2,5.45,6.45,1.0
10,31,3,8.154,8.92,0.7659998
11,31,4,8.92,9.17,0.25
0,32,0,3.0,4.0,1.0
2,32,1,5.45,6.8999996,1.4499998
6,32,2,6.8999996,7.8999996,1.0
9,32,3,7.8999996,8.271,0.3710003
12,32,4,8.574,9.834001,1.2600002
16,32,5,9.834001,9.938001,0.10400009
1,33,0,4.0,5.0,1.0
2,33,1,6.8999996,8.349999,1.4499998
5,33,2,8.349999,9.349999,1.0
10,33,3,9.349999,9.997999,0.64799976
11,33,4,9.997999,10.497999,0.5
16,33,5,10.497999,11.132999,0.6350002
0,34,0,4.0,5.0,1.0
2,34,1,8.349999,9.799999,1.4499998
6,34,2,9.799999,10.799999,1.0
9,34,3,10.799999,11.046999,0.24699974
12,34,4,11.046999,11.466999,0.42000008
14,34,5,11.466999,11.708999,0.24199963
1,35,0,5.0,6.0,1.0
4,35,1,6.0,8.331,2.3310003
5,35,2,9.349999,11.164999,1.8149996
10,35,3,11.164999,11.806999,0.6420002
11,35,4,11.806999,12.056999,0.25
16,35,5,12.056999,12.685999,0.6289997
0,36,0,5.0,6.0,1.0
2,36,1,9.799999,11.249999,1.4499998
6,36,2,11.249999,12.249999,1.0
10,36,3,12.249999,13.015999,0.7659998
12,36,4,13.015999,13.435999,0.42000008
1,37,0,6.0,7.0,1.0
2,37,1,11.249999,12.699999,1.4499998
5,37,2,12.699999,13.699999,1.0
9,37,3,13.699999,14.070999,0.3710003
11,37,4,14.070999,14.820999,0.75
14,37,5,14.820999,15.184999,0.36400032
0,38,0,0.0,1.0,1.0
3,38,1,1.0,2.45,1.45
7,38,2,2.45,3.45,1.0
10,38,3,3.45,6.098,2.648
13,38,4,6.098,6.938,0.84000015
16,38,5,6.938,7.573,0.63499975
1,39,0,7.0,8.0,1.0
2,39,1,12.699999,14.149999,1.4499998
5,39,2,14.149999,15.149999,1.0
9,39,3,15.149999,15.396998,0.24699974
11,39,4,15.396998,15.646998,0.25
14,39,5,15.646998,15.888998,0.24199963
0,40,0,7.0,8.0,1.0
4,40,1,10.662001,12.993001,2.3310003
6,40,2,14.494999,16.739998,2.244999
10,40,3,16.739998,17.381998,0.6420002
