,Order,Stage,Start,Finish,Duration
7,23,2,31.645004,32.645004,1.0
10,23,3,32.645004,33.293003,0.6479988
13,23,4,38.76101,39.60101,0.84000015
14,23,5,39.60101,41.82301,2.2220001
0,24,0,9.0,10.0,1.0
2,24,1,16.8,18.25,1.4500008
6,24,2,18.25,19.25,1.0
9,24,3,45.22101,45.46801,0.24700165
11,24,4,55.706997,55.956997,0.25
14,24,5,58.439,58.681,0.24200058
1,25,0,20.0,21.0,1.0
4,25,1,21.0,23.331,2.3309994
5,25,2,46.85001,48.66501,1.8149986
10,25,3,49.829006,50.471004,0.6419983
11,25,4,50.471004,50.721004,0.25
15,25,5,53.409008,55.611008,2.2019997
0,26,0,23.0,24.0,1.0
2,26,1,44.350014,45.800014,1.4500008
6,26,2,45.800014,46.800014,1.0
10,26,3,51.119003,51.885002,0.76599884
13,26,4,57.30099,57.72099,0.41999817
0,27,0,16.0,17.0,1.0
3,27,1,45.30001,46.75001,1.4500008
6,27,2,51.045013,52.045013,1.0
8,27,3,52.045013,52.41601,0.37099838
12,27,4,57.60299,58.862988,1.2599983
16,27,5,58.936993,59.040993,0.10400009
0,28,0,3.0,4.0,1.0
2,28,1,21.150002,22.600002,1.4500008
5,28,2,22.600002,23.600002,1.0
10,28,3,23.600002,24.248003,0.6480007
12,28,4,24.248003,25.088003,0.84000015
14,28,5,25.088003,27.310003,2.2220001
1,29,0,22.0,23.0,1.0
3,29,1,40.95001,42.40001,1.4500008
5,29,2,45.85001,46.85001,1.0
9,29,3,46.85001,47.09701,0.24700165
13,29,4,49.512005,49.932003,0.41999817
15,29,5,50.945007,51.187008,0.24200058
0,30,0,20.0,21.0,1.0
4,30,1,23.331,25.661999,2.3309994
5,30,2,38.600006,40.415005,1.8149986
10,30,3,41.392,42.033997,0.6419983
13,30,4,42.232,42.651997,0.41999817
16,30,5,42.651997,43.281,0.6290016
0,31,0,11.0,12.0,1.0
3,31,1,30.800003,32.250004,1.4500008
5,31,2,32.250004,33.250004,1.0
10,31,3,34.701,35.467,0.76599884
11,31,4,35.467,35.717,0.25
1,32,0,17.0,18.0,1.0
2,32,1,35.65001,37.10001,1.4500008
5,32,2,48.66501,49.66501,1.0
8,32,3,49.66501,50.036007,0.37099838
13,32,4,54.360996,55.620995,1.2599983
16,32,5,57.568993,57.672993,0.10400009
0,33,0,10.0,11.0,1.0
2,33,1,25.500004,26.950005,1.4500008
6,33,2,35.800003,36.800003,1.0
10,33,3,39.448,40.096,0.6479988
11,33,4,41.418003,41.918003,0.5
15,33,5,51.187008,53.409008,2.2220001
1,34,0,7.0,8.0,1.0
2,34,1,34.20001,35.65001,1.4500008
6,34,2,38.800003,39.800003,1.0
9,34,3,39.800003,40.047005,0.24700165
13,34,4,56.880993,57.30099,0.41999817
14,34,5,58.681,58.923,0.24200058
1,35,0,2.0,3.0,1.0
4,35,1,13.662001,15.993001,2.3310003
6,35,2,39.800003,42.045002,2.244999
10,35,3,49.187008,49.829006,0.6419983
12,35,4,49.829006,50.249004,0.41999817
14,35,5,56.237,58.439,2.2019997
1,36,0,19.0,20.0,1.0
2,36,1,41.450012,42.900013,1.4500008
7,36,2,48.54501,49.54501,1.0
10,36,3,53.175,53.940998,0.76599884
13,36,4,53.940998,54.360996,0.41999817
0,37,0,1.0,2.0,1.0
2,37,1,22.600002,24.050003,1.4500008
7,37,2,24.050003,25.050003,1.0
8,37,3,45.0,45.371,0.37099838
12,37,4,45.371,46.630997,1.2599983
15,37,5,46.630997,46.994995,0.3639984
0,38,0,5.0,6.0,1.0
2,38,1,24.050003,25.500004,1.4500008
7,38,2,32.645004,33.645004,1.0
10,38,3,40.096,40.744,0.6479988
11,38,4,47.491997,47.991997,0.5
14,38,5,47.991997,50.213997,2.2220001
0,39,0,18.0,19.0,1.0
2,39,1,28.400005,29.850006,1.4500008
6,39,2,42.045002,43.045002,1.0
9,39,3,50.41601,50.663013,0.24700165
12,39,4,57.18299,57.60299,0.41999817
16,39,5,59.040993,59.109993,0.069000244
0,40,0,2.0,3.0,1.0
3,40,1,3.0,4.45,1.4499998
7,40,2,29.400005,31.645004,2.244999
10,40,3,34.059002,34.701,0.6419983
11,40,4,34.701,34.951,0.25
16,40,5,34.951,35.58,0.6290016
0,41,0,0.0,1.0,1.0
3,41,1,29.350002,30.800003,1.4500008
6,41,2,30.800003,31.800003,1.0
10,41,3,33.293003,34.059002,0.76599884
12,41,4,34.059002,34.479,0.41999817
0,42,0,21.0,22.0,1.0
2,42,1,37.10001,38.55001,1.4500008
7,42,2,38.55001,39.55001,1.0
8,42,3,50.28301,50.654007,0.37099838
11,42,4,54.956997,55.706997,0.75
16,42,5,56.829994,56.933994,0.10400009
0,43,0,14.0,15.0,1.0
2,43,1,19.7,21.150002,1.4500008
6,43,2,44.045002,45.045002,1.0
10,43,3,56.762993,57.41099,0.6479988
11,43,4,57.41099,57.91099,0.5
15,43,5,58.661007,60.883007,2.2220001
0,44,0,13.0,14.0,1.0
2,44,1,31.300007,32.750008,1.4500008
6,44,2,32.800003,33.800003,1.0
9,44,3,38.09401,38.34101,0.24700165
13,44,4,38.34101,38.76101,0.41999817
16,44,5,43.281,43.35,0.069000244
0,45,0,24.0,25.0,1.0
4,45,1,27.992998,30.323997,2.3309994
6,45,2,46.800014,49.045013,2.244999
10,45,3,51.885002,52.527,0.6419983
11,45,4,52.527,52.777,0.25
15,45,5,56.217007,58.419006,2.2019997
0,46,0,15.0,16.0,1.0
3,46,1,27.900002,29.350002,1.4500008
5,46,2,44.85001,45.85001,1.0
10,46,3,47.06601,47.83201,0.76599884
13,46,4,47.83201,48.252007,0.41999817
1,47,0,4.0,5.0,1.0
2,47,1,5.0,6.45,1.4499998
6,47,2,19.25,20.25,1.0
9,47,3,20.25,20.621,0.3710003
13,47,4,20.621,21.881,1.2600002
16,47,5,35.58,35.684002,0.10400009
1,48,0,15.0,16.0,1.0
3,48,1,33.700005,35.150005,1.4500008
6,48,2,37.800003,38.800003,1.0
10,48,3,38.800003,39.448,0.6479988
13,48,4,48.252007,49.092007,0.84000015
16,48,5,58.301994,58.936993,0.6349983
1,49,0,12.0,13.0,1.0
3,49,1,26.45,27.900002,1.4500008
6,49,2,31.800003,32.800003,1.0
8,49,3,45.741997,45.989,0.24700165
12,49,4,56.194996,56.614994,0.41999817
15,49,5,58.419006,58.661007,0.24200058
