,Order,Stage,Start,Finish,Duration
10,23,3,29.550005,30.198006,0.6480007
12,23,4,30.198006,31.038006,0.84000015
15,23,5,31.038006,33.260006,2.2220001
1,24,0,3.0,4.0,1.0
2,24,1,5.3500004,6.8,1.4499998
7,24,2,6.8,7.8,1.0
8,24,3,7.8,8.047,0.24699974
12,24,4,8.047,8.467,0.42000008
14,24,5,8.467,8.709,0.24199963
1,25,0,21.0,22.0,1.0
4,25,1,25.661999,27.992998,2.3309994
7,25,2,31.000006,33.245007,2.2450008
10,25,3,33.58,34.222,0.6419983
12,25,4,34.222,34.642,0.41999817
16,25,5,34.642,35.271,0.6290016
1,26,0,8.0,9.0,1.0
3,26,1,12.599999,14.049999,1.4499998
6,26,2,14.049999,15.049999,1.0
10,26,3,15.213999,15.979999,0.7659998
12,26,4,15.979999,16.399998,0.41999912
0,27,0,11.0,12.0,1.0
3,27,1,16.949999,18.4,1.4500008
5,27,2,18.4,19.4,1.0
9,27,3,19.4,19.771,0.3710003
11,27,4,19.771,20.521,0.75
16,27,5,20.521,20.625,0.10400009
0,28,0,16.0,17.0,1.0
2,28,1,24.200003,25.650003,1.4500008
5,28,2,25.650003,26.650003,1.0
10,28,3,27.298004,27.946005,0.6480007
12,28,4,27.946005,28.786005,0.84000015
16,28,5,28.786005,29.421005,0.6350002
1,29,0,1.0,2.0,1.0
2,29,1,2.45,3.9,1.45
5,29,2,3.9,4.9,1.0
9,29,3,4.9,5.1470003,0.24700022
11,29,4,5.1470003,5.3970003,0.25
15,29,5,5.3970003,5.6390004,0.2420001
0,30,0,21.0,22.0,1.0
4,30,1,27.992998,30.323997,2.3309994
6,30,2,31.795006,34.040005,2.244999
10,30,3,34.222,34.864,0.6419983
11,30,4,34.864,35.114,0.25
14,30,5,35.114,37.315998,2.2019997
0,31,0,7.0,8.0,1.0
2,31,1,11.15,12.599999,1.4499998
5,31,2,12.599999,13.599999,1.0
10,31,3,14.447999,15.213999,0.7659998
13,31,4,15.213999,15.633999,0.42000008
1,32,0,11.0,12.0,1.0
2,32,1,16.949999,18.4,1.4500008
7,32,2,18.4,19.4,1.0
8,32,3,19.4,19.771,0.3710003
12,32,4,19.771,21.031,1.2600002
14,32,5,21.031,21.395,0.36400032
1,33,0,17.0,18.0,1.0
3,33,1,25.650003,27.100004,1.4500008
7,33,2,27.100004,28.100004,1.0
10,33,3,28.100004,28.748005,0.6480007
11,33,4,28.748005,29.248005,0.5
14,33,5,29.248005,31.470005,2.2220001
1,34,0,2.0,3.0,1.0
2,34,1,3.9,5.3500004,1.4500003
6,34,2,5.3500004,6.3500004,1.0
8,34,3,6.3500004,6.5970006,0.24700022
13,34,4,6.5970006,7.0170007,0.42000008
16,34,5,7.0170007,7.0860004,0.06899977
0,35,0,24.0,25.0,1.0
4,35,1,32.655,34.986,2.3310013
6,35,2,36.285004,38.530003,2.244999
10,35,3,38.530003,39.172,0.6419983
11,35,4,39.172,39.422,0.25
15,35,5,39.422,41.624,2.2019997
1,36,0,6.0,7.0,1.0
2,36,1,9.7,11.15,1.4499998
6,36,2,11.15,12.15,1.0
10,36,3,12.15,12.915999,0.7659998
13,36,4,12.915999,13.3359995,0.42000008
1,37,0,12.0,13.0,1.0
2,37,1,18.4,19.85,1.4500008
6,37,2,19.85,20.85,1.0
8,37,3,20.85,21.221,0.3710003
13,37,4,21.221,22.481,1.2600002
15,37,5,22.481,22.845001,0.36400032
1,38,0,15.0,16.0,1.0
2,38,1,22.750002,24.200003,1.4500008
7,38,2,24.200003,25.200003,1.0
10,38,3,25.200003,25.848003,0.6480007
12,38,4,25.848003,26.688004,0.84000015
14,38,5,26.688004,28.910004,2.2220001
1,39,0,4.0,5.0,1.0
2,39,1,6.8,8.25,1.4499998
6,39,2,8.25,9.25,1.0
8,39,3,9.25,9.497,0.24699974
13,39,4,9.497,9.917,0.42000008
15,39,5,9.917,10.158999,0.24199963
1,40,0,24.0,25.0,1.0
2,40,1,31.450006,32.900005,1.4499989
7,40,2,35.490005,37.735004,2.244999
10,40,3,37.735004,38.377003,0.6419983
12,40,4,38.377003,38.797,0.41999817
16,40,5,38.797,39.426003,0.6290016
0,41,0,6.0,7.0,1.0
3,41,1,9.7,11.15,1.4499998
5,41,2,11.15,12.15,1.0
10,41,3,12.915999,13.681999,0.7659998
12,41,4,13.681999,14.101999,0.42000008
0,42,0,13.0,14.0,1.0
3,42,1,19.85,21.300001,1.4500008
5,42,2,21.300001,22.300001,1.0
9,42,3,22.300001,22.671001,0.3710003
11,42,4,22.671001,23.421001,0.75
16,42,5,23.421001,23.525002,0.10400009
1,43,0,19.0,20.0,1.0
3,43,1,28.550005,30.000006,1.4500008
7,43,2,30.000006,31.000006,1.0
10,43,3,31.000006,31.648006,0.6480007
13,43,4,31.648006,32.488007,0.84000015
14,43,5,32.488007,34.710007,2.2220001
0,44,0,1.0,2.0,1.0
3,44,1,2.45,3.9,1.45
7,44,2,3.9,4.9,1.0
8,44,3,4.9,5.1470003,0.24700022
12,44,4,5.1470003,5.5670004,0.42000008
14,44,5,5.5670004,5.8090005,0.2420001
0,45,0,22.0,23.0,1.0
2,45,1,30.000006,31.450006,1.4500008
7,45,2,33.245007,35.490005,2.244999
10,45,3,35.505997,36.147995,0.6419983
12,45,4,36.147995,36.567993,0.41999817
15,45,5,36.567993,38.769993,2.2019997
1,46,0,7.0,8.0,1.0
3,46,1,11.15,12.599999,1.4499998
7,46,2,12.599999,13.599999,1.0
10,46,3,13.681999,14.447999,0.7659998
11,46,4,14.447999,14.697999,0.25
0,47,0,12.0,13.0,1.0
3,47,1,18.4,19.85,1.4500008
5,47,2,19.85,20.85,1.0
9,47,3,20.85,21.221,0.3710003
11,47,4,21.221,21.971,0.75
16,47,5,21.971,22.075,0.10400009
1,48,0,16.0,17.0,1.0
3,48,1,24.200003,25.650003,1.4500008
6,48,2,25.650003,26.650003,1.0
10,48,3,26.650003,27.298004,0.6480007
13,48,4,27.298004,28.138004,0.84000015
15,48,5,28.138004,30.360004,2.2220001
1,49,0,0.0,1.0,1.0
2,49,1,1.0,2.45,1.45
6,49,2,2.45,3.45,1.0
8,49,3,3.45,3.697,0.24699998
12,49,4,3.697,4.117,0.42000008
16,49,5,4.117,4.186,0.06899977
