,Order,Stage,Start,Finish,Duration
10,23,3,39.400005,40.048004,0.6479988
11,23,4,40.048004,40.548004,0.5
15,23,5,42.864002,45.086002,2.2220001
1,24,0,3.0,4.0,1.0
2,24,1,5.3500004,6.8,1.4499998
7,24,2,6.8,7.8,1.0
8,24,3,7.8,8.047,0.24699974
13,24,4,8.047,8.467,0.42000008
14,24,5,8.467,8.709,0.24199963
1,25,0,21.0,22.0,1.0
4,25,1,25.661999,27.992998,2.3309994
5,25,2,41.15001,42.965008,1.8149986
10,25,3,43.737003,44.379,0.6419983
11,25,4,44.379,44.629,0.25
16,25,5,47.364,47.993,0.6290016
0,26,0,0.0,1.0,1.0
3,26,1,1.0,2.45,1.45
7,26,2,2.45,3.45,1.0
10,26,3,3.45,6.216,2.766
13,26,4,6.216,6.636,0.42000008
0,27,0,11.0,12.0,1.0
2,27,1,27.100004,28.550005,1.4500008
7,27,2,28.550005,29.550005,1.0
9,27,3,29.621002,29.992002,0.3710003
12,27,4,29.992002,31.252003,1.2600002
14,27,5,31.252003,31.616003,0.36400032
0,28,0,16.0,17.0,1.0
2,28,1,34.350006,35.800007,1.4500008
5,28,2,35.800007,36.800007,1.0
10,28,3,37.148003,37.796,0.6479988
12,28,4,37.796,38.636,0.84000015
14,28,5,39.408,41.63,2.2220001
0,29,0,2.0,3.0,1.0
3,29,1,3.9,25.35,21.45
5,29,2,25.35,26.35,1.0
9,29,3,26.35,26.597,0.24699974
12,29,4,26.597,27.017,0.42000008
15,29,5,27.017,27.259,0.24200058
0,30,0,21.0,22.0,1.0
4,30,1,27.992998,30.323997,2.3309994
6,30,2,41.945007,44.190006,2.244999
10,30,3,44.379,45.021,0.6419983
12,30,4,45.021,45.440998,0.41999817
16,30,5,47.993,48.622,0.6290016
1,31,0,9.0,10.0,1.0
2,31,1,22.750002,24.200003,1.4500008
7,31,2,24.200003,25.200003,1.0
10,31,3,25.200003,25.966003,0.76600075
13,31,4,25.966003,26.386003,0.42000008
1,32,0,11.0,12.0,1.0
