,Order,Stage,Start,Finish,Duration
11,23,4,54.371,54.871,0.5
16,23,5,55.68099,56.315987,0.6349983
0,24,0,3.0,4.0,1.0
2,24,1,7.8,9.25,1.4499998
7,24,2,9.25,10.25,1.0
8,24,3,10.25,10.497,0.24699974
11,24,4,10.497,10.747,0.25
16,24,5,10.747,10.816,0.069000244
0,25,0,26.0,27.0,1.0
3,25,1,48.650013,50.100014,1.4500008
5,25,2,51.38001,53.195007,1.8149986
10,25,3,53.195007,53.837006,0.6419983
11,25,4,56.871,57.121,0.25
16,25,5,59.478985,60.107986,0.6290016
1,26,0,0.0,1.0,1.0
3,26,1,1.0,2.45,1.45
6,26,2,2.45,3.45,1.0
10,26,3,3.45,6.216,2.766
11,26,4,6.216,6.466,0.25
1,27,0,8.0,9.0,1.0
2,27,1,19.400002,20.850002,1.4500008
6,27,2,33.700005,34.700005,1.0
9,27,3,38.421005,38.792004,0.37099838
11,27,4,46.121,46.871,0.75
16,27,5,46.871,46.975,0.10400009
0,28,0,20.0,21.0,1.0
3,28,1,42.85001,44.30001,1.4500008
6,28,2,44.30001,45.30001,1.0
10,28,3,45.30001,45.94801,0.6479988
11,28,4,52.871,53.371,0.5
16,28,5,53.775993,54.41099,0.6349983
1,29,0,2.0,3.0,1.0
2,29,1,6.3500004,7.8,1.4499998
5,29,2,7.8,8.8,1.0
8,29,3,8.8,9.047,0.24699974
11,29,4,9.047,9.297,0.25
16,29,5,9.297,9.366,0.069000244
1,30,0,16.0,17.0,1.0
3,30,1,50.100014,51.550014,1.4500008
5,30,2,53.195007,55.010006,1.8149986
10,30,3,55.010006,55.652004,0.6419983
11,30,4,57.121,57.371,0.25
16,30,5,60.107986,60.736988,0.6290016
0,31,0,12.0,13.0,1.0
3,31,1,32.700005,34.150005,1.4500008
7,31,2,34.150005,35.150005,1.0
10,31,3,35.314,36.079998,0.76599884
11,31,4,36.079998,36.329998,0.25
0,32,0,14.0,15.0,1.0
2,32,1,17.95,19.400002,1.4500008
7,32,2,37.150005,38.150005,1.0
8,32,3,45.0,45.371,0.37099838
11,32,4,45.371,46.121,0.75
16,32,5,46.121,46.225,0.10400009
0,33,0,21.0,22.0,1.0
2,33,1,28.100006,29.550007,1.4500008
7,33,2,42.40001,43.40001,1.0
10,33,3,45.94801,46.59601,0.6479988
11,33,4,53.371,53.871,0.5
16,33,5,54.41099,55.04599,0.6349983
0,34,0,1.0,2.0,1.0
3,34,1,2.45,3.9,1.45
6,34,2,5.9,6.9,1.0
8,34,3,6.9,7.1470003,0.24700022
11,34,4,7.1470003,7.3970003,0.25
16,34,5,7.3970003,7.466,0.06899977
1,35,0,20.0,21.0,1.0
2,35,1,35.35001,36.80001,1.4500008
5,35,2,64.085,65.9,1.8150024
10,35,3,65.9,66.542,0.6419983
11,35,4,66.542,66.792,0.25
16,35,5,66.792,67.421,0.6289978
0,36,0,7.0,8.0,1.0
3,36,1,26.900002,28.350002,1.4500008
7,36,2,28.350002,29.350002,1.0
10,36,3,29.666002,30.432003,0.76600075
11,36,4,30.432003,30.682003,0.25
0,37,0,15.0,16.0,1.0
2,37,1,20.850002,22.300003,1.4500008
6,37,2,34.700005,35.700005,1.0
8,37,3,45.371,45.741997,0.37099838
11,37,4,46.871,47.621,0.75
16,37,5,47.621,47.725,0.10400009
0,38,0,18.0,19.0,1.0
2,38,1,25.200005,26.650005,1.4500008
6,38,2,41.95001,42.95001,1.0
10,38,3,42.95001,43.598007,0.6479988
11,38,4,51.371,51.871,0.5
16,38,5,51.871,52.505997,0.6349983
0,39,0,0.0,1.0,1.0
2,39,1,3.45,4.9,1.45
6,39,2,4.9,5.9,1.0
8,39,3,5.9,6.1470003,0.24700022
11,39,4,6.716,6.966,0.25
16,39,5,6.966,7.035,0.06899977
1,40,0,19.0,20.0,1.0
3,40,1,57.350018,58.80002,1.4500008
5,40,2,62.27,64.085,1.8149986
10,40,3,64.085,64.727,0.6419983
11,40,4,64.727,64.977,0.25
16,40,5,64.977,65.605995,0.6289978
0,41,0,9.0,10.0,1.0
3,41,1,29.800003,31.250004,1.4500008
6,41,2,31.250004,32.250004,1.0
10,41,3,32.250004,33.016003,0.76599884
11,41,4,33.016003,33.266003,0.25
1,42,0,9.0,10.0,1.0
3,42,1,38.500008,39.95001,1.4500008
6,42,2,39.95001,40.95001,1.0
8,42,3,45.741997,46.112995,0.37099838
11,42,4,49.121,49.871,0.75
16,42,5,49.871,49.975,0.10400009
1,43,0,13.0,14.0,1.0
2,43,1,32.45001,33.90001,1.4500008
5,43,2,46.75001,47.75001,1.0
10,43,3,48.540005,49.188004,0.6479988
11,43,4,55.371,55.871,0.5
16,43,5,56.950985,57.585983,0.6349983
1,44,0,3.0,4.0,1.0
3,44,1,4.0,25.45,21.45
7,44,2,25.45,26.45,1.0
9,44,3,26.45,26.697,0.24699974
11,44,4,26.697,26.947,0.25
16,44,5,26.947,27.016,0.069000244
1,45,0,17.0,18.0,1.0
3,45,1,53.000015,54.450016,1.4500008
5,45,2,56.825005,58.640003,1.8149986
10,45,3,58.640003,59.282,0.6419983
11,45,4,59.282,59.532,0.25
16,45,5,61.36599,61.99499,0.6290016
1,46,0,5.0,6.0,1.0
2,46,1,13.599999,15.049999,1.4499998
5,46,2,30.800003,31.800003,1.0
10,46,3,33.016003,33.782,0.76599884
11,46,4,33.782,34.032,0.25
0,47,0,16.0,17.0,1.0
3,47,1,37.050007,38.500008,1.4500008
7,47,2,38.500008,39.500008,1.0
9,47,3,39.500008,39.871006,0.37099838
11,47,4,47.621,48.371,0.75
16,47,5,48.371,48.475,0.10400009
1,48,0,12.0,13.0,1.0
2,48,1,26.650005,28.100006,1.4500008
