,Order,Stage,Start,Finish,Duration
6,23,2,65.95001,66.95001,1.0
10,23,3,66.95001,67.598015,0.6480026
11,23,4,67.98602,68.48602,0.5
16,23,5,68.48602,69.121025,0.63500214
1,24,0,27.0,28.0,1.0
3,24,1,65.95001,67.40001,1.449997
6,24,2,67.40001,68.40001,1.0
8,24,3,68.40001,68.64701,0.24700165
11,24,4,68.64701,68.89701,0.25
16,24,5,69.121025,69.190025,0.069000244
1,25,0,8.0,9.0,1.0
2,25,1,10.249999,11.699999,1.4499998
5,25,2,31.615002,33.43,1.8149986
10,25,3,33.43,34.072,0.6419983
11,25,4,34.072,34.322,0.25
16,25,5,34.322,34.951,0.6290016
0,26,0,0.0,1.0,1.0
2,26,1,1.0,2.45,1.45
7,26,2,2.45,3.45,1.0
10,26,3,6.098,6.864,0.7659998
11,26,4,6.864,7.114,0.25
0,27,0,1.0,2.0,1.0
3,27,1,2.45,3.9,1.45
6,27,2,3.9,4.9,1.0
9,27,3,4.9,5.271,0.3709998
11,27,4,7.114,7.864,0.75
16,27,5,7.864,7.968,0.10400009
1,28,0,1.0,2.0,1.0
3,28,1,3.9,25.35,21.45
6,28,2,25.35,26.35,1.0
10,28,3,26.35,26.998001,0.6480007
11,28,4,26.998001,27.498001,0.5
16,28,5,27.498001,28.133001,0.6350002
1,29,0,2.0,3.0,1.0
2,29,1,3.0,4.45,1.4499998
5,29,2,4.45,5.45,1.0
8,29,3,5.45,5.697,0.24700022
11,29,4,27.498001,27.748001,0.25
16,29,5,28.133001,28.202002,0.069000244
1,30,0,3.0,4.0,1.0
2,30,1,4.45,5.8999996,1.4499998
5,30,2,5.8999996,7.7149997,1.815
10,30,3,26.998001,27.640001,0.6420002
11,30,4,27.748001,27.998001,0.25
16,30,5,28.202002,28.831001,0.6289997
1,31,0,4.0,5.0,1.0
2,31,1,5.8999996,7.3499994,1.4499998
7,31,2,7.3499994,8.349999,1.0
10,31,3,27.640001,28.406002,0.76600075
11,31,4,28.406002,28.656002,0.25
1,32,0,5.0,6.0,1.0
3,32,1,25.35,26.800001,1.4500008
5,32,2,26.800001,27.800001,1.0
9,32,3,27.800001,28.171001,0.3710003
11,32,4,28.656002,29.406002,0.75
16,32,5,29.406002,29.510002,0.10400009
0,33,0,2.0,3.0,1.0
2,33,1,7.3499994,8.799999,1.4499998
5,33,2,27.800001,28.800001,1.0
10,33,3,28.800001,29.448002,0.6480007
11,33,4,29.448002,29.948002,0.5
16,33,5,29.948002,30.583002,0.6350002
0,34,0,3.0,4.0,1.0
2,34,1,8.799999,10.249999,1.4499998
7,34,2,10.249999,11.249999,1.0
8,34,3,11.249999,11.496999,0.24699974
11,34,4,29.948002,30.198002,0.25
