,Order,Stage,Start,Finish,Duration
6,23,2,46.950016,47.950016,1.0
10,23,3,47.950016,48.598015,0.6479988
11,23,4,48.598015,49.098015,0.5
16,23,5,49.098015,49.733013,0.6349983
1,24,0,26.0,27.0,1.0
2,24,1,27.150005,28.600006,1.4500008
5,24,2,45.610004,46.610004,1.0
8,24,3,46.610004,46.857006,0.24700165
11,24,4,49.098015,49.348015,0.25
16,24,5,49.733013,49.802013,0.069000244
1,25,0,7.0,8.0,1.0
2,25,1,11.15,12.599999,1.4499998
5,25,2,12.599999,14.414999,1.8149996
10,25,3,14.414999,15.056999,0.6420002
11,25,4,15.056999,15.306999,0.25
16,25,5,15.306999,15.935999,0.6289997
0,26,0,1.0,2.0,1.0
3,26,1,2.0,3.45,1.45
7,26,2,3.45,4.45,0.99999976
10,26,3,4.45,5.2159996,0.7659998
11,26,4,5.2159996,5.4659996,0.25
1,27,0,0.0,1.0,1.0
2,27,1,2.45,3.9,1.45
6,27,2,3.9,4.9,1.0
8,27,3,4.9,5.271,0.3709998
11,27,4,5.4659996,6.2159996,0.75
16,27,5,6.2159996,6.3199997,0.10400009
1,28,0,1.0,2.0,1.0
3,28,1,3.45,4.9,1.45
6,28,2,4.9,5.9,1.0
10,28,3,5.9,6.5480003,0.64800024
11,28,4,6.5480003,7.0480003,0.5
16,28,5,7.0480003,7.6830006,0.6350002
1,29,0,2.0,3.0,1.0
2,29,1,3.9,5.3500004,1.4500003
5,29,2,5.3500004,6.3500004,1.0
9,29,3,6.3500004,6.5970006,0.24700022
11,29,4,7.0480003,7.2980003,0.25
16,29,5,7.6830006,7.7520003,0.06899977
0,30,0,2.0,3.0,1.0
3,30,1,4.9,6.3500004,1.4500003
5,30,2,6.3500004,8.165001,1.8150005
10,30,3,8.165001,8.807001,0.6420002
11,30,4,8.807001,9.057001,0.25
16,30,5,9.057001,9.686001,0.6289997
0,31,0,3.0,4.0,1.0
2,31,1,5.3500004,6.8,1.4499998
7,31,2,6.8,7.8,1.0
10,31,3,8.807001,9.573001,0.7659998
11,31,4,9.573001,9.823001,0.25
1,32,0,3.0,4.0,1.0
2,32,1,6.8,8.25,1.4499998
7,32,2,8.25,9.25,1.0
8,32,3,9.25,9.621,0.3710003
11,32,4,9.823001,10.573001,0.75
16,32,5,10.573001,10.677001,0.10400009
1,33,0,4.0,5.0,1.0
3,33,1,6.3500004,7.8,1.4499998
6,33,2,7.8,8.8,1.0
10,33,3,9.573001,10.221001,0.64799976
11,33,4,10.573001,11.073001,0.5
16,33,5,11.073001,11.708001,0.6350002
0,34,0,4.0,5.0,1.0
3,34,1,7.8,9.25,1.4499998
6,34,2,9.25,10.25,1.0
9,34,3,10.25,10.497,0.24699974
11,34,4,11.073001,11.323001,0.25
16,34,5,11.708001,11.777001,0.069000244
0,35,0,5.0,6.0,1.0
2,35,1,8.25,9.7,1.4499998
5,35,2,9.7,11.514999,1.8149996
10,35,3,11.514999,12.157,0.6420002
11,35,4,12.157,12.407,0.25
16,35,5,12.407,13.035999,0.6289997
1,36,0,5.0,6.0,1.0
2,36,1,9.7,11.15,1.4499998
6,36,2,11.15,12.15,1.0
10,36,3,12.157,12.922999,0.7659998
11,36,4,12.922999,13.172999,0.25
1,37,0,6.0,7.0,1.0
3,37,1,9.25,10.7,1.4499998
6,37,2,12.15,13.15,1.0
8,37,3,13.15,13.521,0.3710003
11,37,4,13.521,14.271,0.75
16,37,5,14.271,14.375,0.10400009
0,38,0,0.0,1.0,1.0
2,38,1,1.0,2.45,1.45
6,38,2,2.45,3.45,1.0
10,38,3,3.45,4.098,0.648
11,38,4,4.098,4.598,0.5
16,38,5,4.598,5.233,0.63499975
0,39,0,6.0,7.0,1.0
2,39,1,12.599999,14.049999,1.4499998
6,39,2,14.049999,15.049999,1.0
9,39,3,15.049999,15.296999,0.24699974
11,39,4,15.306999,15.556999,0.25
16,39,5,15.935999,16.005,0.069000244
1,40,0,8.0,9.0,1.0
2,40,1,14.049999,15.499999,1.4499998
5,40,2,15.499999,17.314999,1.8149996
10,40,3,17.314999,17.956999,0.6420002
11,40,4,17.956999,18.206999,0.25
16,40,5,18.206999,18.835999,0.6289997
1,41,0,9.0,10.0,1.0
3,41,1,10.7,12.15,1.4499998
7,41,2,12.15,13.15,1.0
10,41,3,17.956999,18.723,0.76600075
11,41,4,18.723,18.973,0.25
1,42,0,10.0,11.0,1.0
3,42,1,12.15,13.599999,1.4499998
6,42,2,15.049999,16.05,1.0
9,42,3,16.05,16.421,0.3710003
11,42,4,18.973,19.723,0.75
16,42,5,19.723,19.827,0.10400009
1,43,0,11.0,12.0,1.0
3,43,1,13.599999,15.049999,1.4499998
6,43,2,16.05,17.05,1.0
10,43,3,18.723,19.371,0.6480007
11,43,4,19.723,20.223,0.5
16,43,5,20.223,20.858,0.6350002
1,44,0,12.0,13.0,1.0
3,44,1,15.049999,16.5,1.4500008
5,44,2,17.314999,18.314999,1.0
9,44,3,18.314999,18.561998,0.24699974
11,44,4,20.223,20.473,0.25
16,44,5,20.858,20.927,0.069000244
1,45,0,13.0,14.0,1.0
3,45,1,16.5,17.95,1.4500008
5,45,2,18.314999,20.13,1.8150005
10,45,3,20.13,20.772,0.6420002
11,45,4,20.772,21.022,0.25
16,45,5,21.022,21.651,0.6289997
0,46,0,7.0,8.0,1.0
3,46,1,17.95,19.400002,1.4500008
5,46,2,20.13,21.13,1.0
10,46,3,21.13,21.896,0.76600075
11,46,4,21.896,22.146,0.25
0,47,0,8.0,9.0,1.0
3,47,1,19.400002,20.850002,1.4500008
5,47,2,21.13,22.13,1.0
8,47,3,22.13,22.501,0.3710003
11,47,4,22.501,23.251,0.75
16,47,5,23.251,23.355,0.10400009
1,48,0,14.0,15.0,1.0
2,48,1,15.499999,16.949999,1.4499998
6,48,2,17.05,18.05,1.0
10,48,3,21.896,22.544,0.6480007
11,48,4,23.251,23.751,0.5
16,48,5,23.751,24.386,0.6350002
0,49,0,9.0,10.0,1.0
3,49,1,20.850002,22.300003,1.4500008
7,49,2,22.300003,23.300003,1.0
9,49,3,23.300003,23.547003,0.24699974
11,49,4,23.751,24.001,0.25
16,49,5,24.386,24.455,0.069000244
