,Order,Stage,Start,Finish,Duration
2,23,1,14.599998,16.05,1.4500008
5,23,2,26.300003,27.300003,1.0
10,23,3,33.879,34.527,0.6479988
13,23,4,34.527,35.367,0.84000015
16,23,5,37.034,37.669,0.6349983
1,24,0,22.0,23.0,1.0
3,24,1,44.30001,45.75001,1.4500008
6,24,2,45.75001,46.75001,1.0
8,24,3,49.18802,49.43502,0.24700165
11,24,4,49.991016,50.241016,0.25
14,24,5,50.241016,50.483017,0.24200058
1,25,0,2.0,3.0,1.0
2,25,1,3.0,4.45,1.4499998
5,25,2,7.9610004,9.776001,1.8150005
10,25,3,39.02699,39.668987,0.6419983
12,25,4,39.866985,40.286983,0.41999817
15,25,5,43.567,45.769,2.2019997
0,26,0,17.0,18.0,1.0
2,26,1,36.35001,37.80001,1.4500008
6,26,2,37.80001,38.80001,1.0
10,26,3,48.48897,49.25497,0.76599884
13,26,4,50.942017,51.362015,0.41999817
0,27,0,10.0,11.0,1.0
3,27,1,29.800003,31.250004,1.4500008
6,27,2,31.250004,32.250004,1.0
9,27,3,32.250004,32.621002,0.37099838
13,27,4,44.534977,45.794975,1.2599983
16,27,5,45.794975,45.898975,0.10400009
1,28,0,6.0,7.0,1.0
2,28,1,11.699999,13.149999,1.4499998
5,28,2,24.300003,25.300003,1.0
10,28,3,31.935003,32.583004,0.6480007
12,28,4,34.719,35.559002,0.84000015
14,28,5,35.559002,37.781002,2.2220001
0,29,0,23.0,24.0,1.0
2,29,1,42.150013,43.600014,1.4500008
7,29,2,43.600014,44.600014,1.0
9,29,3,48.997013,49.244015,0.24700165
12,29,4,49.41701,49.83701,0.41999817
16,29,5,50.129017,50.198017,0.069000244
1,30,0,1.0,2.0,1.0
3,30,1,2.0,3.45,1.45
5,30,2,6.1460004,7.9610004,1.815
10,30,3,36.458996,37.100994,0.6419983
12,30,4,39.446987,39.866985,0.41999817
16,30,5,39.866985,40.495987,0.6290016
1,31,0,16.0,17.0,1.0
3,31,1,35.600006,37.050007,1.4500008
6,31,2,40.25001,41.25001,1.0
10,31,3,42.36098,43.12698,0.76599884
12,31,4,51.097004,51.517002,0.41999817
0,32,0,13.0,14.0,1.0
2,32,1,24.750004,26.200005,1.4500008
6,32,2,27.750004,28.750004,1.0
8,32,3,45.0,45.371,0.37099838
11,32,4,45.371,46.121,0.75
16,32,5,46.121,46.225,0.10400009
0,33,0,5.0,6.0,1.0
2,33,1,10.249999,11.699999,1.4499998
5,33,2,25.300003,26.300003,1.0
10,33,3,29.343,29.991001,0.6480007
12,33,4,35.559002,36.399002,0.84000015
16,33,5,36.399002,37.034,0.6349983
0,34,0,22.0,23.0,1.0
2,34,1,40.700012,42.150013,1.4500008
5,34,2,47.500015,48.500015,1.0
8,34,3,49.43502,49.682022,0.24700165
13,34,4,49.682022,50.10202,0.41999817
15,34,5,50.10202,50.34402,0.24200058
0,35,0,1.0,2.0,1.0
4,35,1,2.0,4.3310003,2.3310003
5,35,2,4.3310003,6.1460004,1.815
10,35,3,38.38499,39.02699,0.6419983
12,35,4,39.02699,39.446987,0.41999817
15,35,5,41.365,43.567,2.2019997
1,36,0,15.0,16.0,1.0
2,36,1,33.45001,34.90001,1.4500008
5,36,2,39.500008,40.500008,1.0
10,36,3,43.89298,44.658978,0.76599884
13,36,4,50.52202,50.942017,0.41999817
1,37,0,14.0,15.0,1.0
2,37,1,26.200005,27.650005,1.4500008
6,37,2,28.750004,29.750004,1.0
9,37,3,29.750004,30.121004,0.3710003
11,37,4,41.952984,42.702984,0.75
15,37,5,46.133,46.496998,0.3639984
0,38,0,9.0,10.0,1.0
2,38,1,23.300003,24.750004,1.4500008
6,38,2,24.750004,25.750004,1.0
10,38,3,32.583004,33.231003,0.6479988
13,38,4,35.367,36.207,0.84000015
15,38,5,36.941,39.163002,2.2220001
0,39,0,21.0,22.0,1.0
3,39,1,39.95001,41.40001,1.4500008
6,39,2,47.75001,48.75001,1.0
9,39,3,48.75001,48.997013,0.24700165
12,39,4,48.997013,49.41701,0.41999817
14,39,5,49.41701,49.65901,0.24200058
0,40,0,3.0,4.0,1.0
3,40,1,4.0,25.45,21.45
7,40,2,25.45,27.695,2.244999
10,40,3,40.952984,41.594982,0.6419983
13,40,4,41.594982,42.01498,0.41999817
16,40,5,42.44799,43.076992,0.6290016
0,41,0,16.0,17.0,1.0
3,41,1,32.700005,34.150005,1.4500008
7,41,2,37.600006,38.600006,1.0
10,41,3,44.658978,45.424976,0.76599884
12,41,4,50.677006,51.097004,0.41999817
0,42,0,12.0,13.0,1.0
3,42,1,31.250004,32.700005,1.4500008
5,42,2,32.700005,33.700005,1.0
9,42,3,33.700005,34.071003,0.37099838
13,42,4,43.27498,44.534977,1.2599983
14,42,5,45.69097,46.05497,0.3639984
1,43,0,8.0,9.0,1.0
2,43,1,18.95,20.400002,1.4500008
5,43,2,27.300003,28.300003,1.0
10,43,3,34.527,35.175,0.6479988
11,43,4,35.175,35.675,0.5
14,43,5,37.781002,40.003002,2.2220001
1,44,0,20.0,21.0,1.0
3,44,1,41.40001,42.85001,1.4500008
6,44,2,42.85001,43.85001,1.0
8,44,3,48.447014,48.694016,0.24700165
13,44,4,48.694016,49.114014,0.41999817
16,44,5,50.198017,50.267017,0.069000244
0,45,0,4.0,5.0,1.0
2,45,1,7.3499994,8.799999,1.4499998
6,45,2,10.389999,12.634999,2.245
10,45,3,39.668987,40.310986,0.6419983
11,45,4,40.310986,40.560986,0.25
16,45,5,40.560986,41.189987,0.6290016
1,46,0,19.0,20.0,1.0
3,46,1,37.050007,38.500008,1.4500008
5,46,2,38.500008,39.500008,1.0
10,46,3,47.722973,48.48897,0.76599884
12,46,4,50.257008,50.677006,0.41999817
1,47,0,11.0,12.0,1.0
2,47,1,29.100006,30.550007,1.4500008
5,47,2,30.550007,31.550007,1.0
9,47,3,34.071003,34.442,0.37099838
12,47,4,44.066975,45.326973,1.2599983
14,47,5,45.326973,45.69097,0.3639984
0,48,0,6.0,7.0,1.0
2,48,1,16.05,17.5,1.4500008
6,48,2,25.750004,26.750004,1.0
10,48,3,30.639002,31.287003,0.6480007
12,48,4,31.479002,32.319,0.83999825
14,48,5,32.319,34.541,2.2220001
0,49,0,20.0,21.0,1.0
2,49,1,39.25001,40.700012,1.4500008
5,49,2,40.700012,41.700012,1.0
8,49,3,45.371,45.618,0.24700165
13,49,4,45.794975,46.214973,0.41999817
16,49,5,46.433,46.502,0.069000244
